Millenium,2022,2021,2020,2019,2018
Fatturato,,16.581,16.486,13.187,20.712
Proventi dalle attività ordinarie,,22.950,19.268,18.240,24.512
Risultato operativo,,-3.752,-2.841,-22.050,-4.033
Costo dell'indebitamento finanziario netto,,1.749,2.634,2.222,4.778
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,-1.915,-411,-12.134,-5.320
Utile netto,,6.566,-6.030,-33.356,-10.051
Utile netto: quota del gruppo,,6.566,-6.005,-32.315,-9.935
Chiusura esercizio fiscale,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
