Millenium,2023,2022,2021,2020,2019
Fatturato,3.695.440,3.931.248,4.029.918,4.209.800,4.047.344
Acquisti consumati,,,,,
Spese per il personale,154.676,567.100,381.881,271.752,1.543.868
Risultato d'esercizio,-3.774.678,-1.097.945,-3.426.425,-328.427,-1.336.137
Imposte sugli utili,141.092,16.398,108,227.855,45.924
Utile netto,-3.964.552,-1.302.102,-3.532.302,-769.671,-1.519.114
Utile netto: quota del gruppo,-3.964.552,-1.302.102,-3.532.302,-769.671,-1.519.114
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
