Millenium,2023,2022,2021,2020,2019
Fatturato,209.822,200.906,112.293,76.143,65.436
Proventi dalle attività ordinarie,211.973,205.277,112.293,76.143,65.436
Risultato operativo,24.559,21.620,9.525,7.275,8.467
Costo dell'indebitamento finanziario netto,8.582,1.467,809,221,153
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,14.631,14.570,6.500,5.476,5.825
Utile netto: quota del gruppo,11.864,11.039,4.149,4.038,5.245
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
