Millenium,2023,2022,2021,2020,2019
Fatturato,2.379.836,2.235.570,1.962.492,1.821.808,2.001.637
Proventi dalle attività ordinarie,2.379.836,2.235.570,1.962.492,1.821.808,2.001.637
Risultato operativo,146.189,81.712,80.219,7.895,84.426
Costo dell'indebitamento finanziario netto,42.753,39.459,38.492,47.454,35.682
Risultato delle aziende associate al bilancio di Gruppo,40,9,26,-255,43
Risultato netto delle attività dismesse,-6.893,712,-24.450,60.332,-298.404
Utile netto,66.915,14.900,22.544,21.433,-266.748
Utile netto: quota del gruppo,32.792,-257,17.981,16.313,-69.807
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
