Millenium,2023,2022,2021,2020,2019
Fatturato,93.717,132.512,76.575,43.987,69.881
Proventi dalle attività ordinarie,94.816,133.687,77.771,44.947,71.041
Risultato operativo,8.257,17.510,12.341,-3.275,6.432
Costo dell'indebitamento finanziario netto,487,939,849,913,962
Risultato delle aziende associate al bilancio di Gruppo,2.444,5.464,-868,-1.658,193
Risultato netto delle attività dismesse,,,,,
Utile netto,4.860,13.961,5.840,-8.628,155
Utile netto: quota del gruppo,4.771,13.887,5.821,-8.635,148
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
