Millenium,2023,2022,2021,2020,2019
Fatturato,4.317.489,3.995.519,3.445.551,3.222.411,3.221.443
Proventi dalle attività ordinarie,4.317.489,3.995.519,3.445.551,3.222.411,3.221.443
Risultato operativo,984.790,494.776,545.596,523.890,468.238
Costo dell'indebitamento finanziario netto,-11.200,14.617,24.574,27.199,31.342
Risultato delle aziende associate al bilancio di Gruppo,161.236,117.551,106.056,173.080,73.837
Risultato netto delle attività dismesse,,,,,
Utile netto,966.813,458.779,542.300,560.472,385.910
Utile netto: quota del gruppo,966.545,458.786,541.903,560.246,385.671
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
