Millenium,2023,2022,2021,2020,2019
Fatturato,21.281,19.459,17.311.492,13.411.266,13.740.301
Acquisti consumati,1.051,958,688.371,1.292.577,750.176
Spese per il personale,15.010,13.502,12.138.138,11.726.582,11.251.322
Risultato d'esercizio,5.900,5.616,5.270.032,864.018,1.115.086
Imposte sugli utili,1.527,914,1.091.664,-376.168,-13.409
Utile netto,3.402,4.201,3.741.096,795.649,435.438
Utile netto: quota del gruppo,3.402,4.201,3.741.096,795.649,435.438
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
