Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,377.073,326.629,461.657,372.913,341.056
Oneri generali d'esercizio,157.198,141.689,99.405,84.879,82.723
Risultato di gestione lordo,219.875,184.940,315.225,232.489,201.761
Costo del rischio,-47,26,498,-1.178,-34
Risultato di gestione,219.828,184.966,315.723,231.311,201.727
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato corrente ante imposte,219.828,184.966,315.723,231.311,204.897
Utile netto,149.288,120.801,238.656,155.371,145.829
Utile netto: quota del gruppo,148.879,120.801,238.656,155.371,145.829
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
