Millenium,2023,2022,2021,2020,2019
Fatturato,367.658,325.616,250.550,222.068,249.971
Proventi dalle attività ordinarie,371.044,328.844,258.480,223.424,251.393
Risultato operativo,153,2.891,7.122,-2.277,12.764
Costo dell'indebitamento finanziario netto,5.125,2.253,1.468,1.669,1.257
Risultato delle aziende associate al bilancio di Gruppo,85,87,82,112,67
Risultato netto delle attività dismesse,,,,,
Utile netto,-10.374,-457,10.778,1.421,8.559
Utile netto: quota del gruppo,-11.647,-1.752,8.446,2.614,7.892
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
