Millenium,2023,2022,2021,2020,2019
Prod. Partecipazioni,522.619,615.605,6.474.077,-129.986,487
Costo personale,359.798,347.669,336.519,137.611,10
Risultato operativo,-5.815.144,-4.564.073,4.342.511,-1.705.711,-759
Plusvalenze su cessioni,,,,,
Imposte sugli utili,0,0,0,0,0
Utile netto,-5.864.770,-4.698.115,3.955.854,-1.844.528,-435
Utile netto: quota del gruppo,-5.864.770,-4.698.115,3.955.854,-1.844.528,-435
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
