Millenium,2023,2022,2021,2020,2019
Fatturato,23.130,23.713,2.496,4.778,12.611
Proventi dalle attività ordinarie,23.130,23.713,2.496,4.778,12.611
Risultato operativo,-8.840,240,-16.775,-12.129,-466
Costo dell'indebitamento finanziario netto,155,406,403,397,302
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-6.161,-5.376,-15.725,-13.285,1.402
Utile netto: quota del gruppo,-6.161,-5.376,-15.725,-13.285,1.402
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
