Millenium,2023,2022,2021,2020,2019
Fatturato,896.364,811.034,687.970,548.803,518.991
Proventi dalle attività ordinarie,896.364,811.034,687.970,548.803,518.991
Risultato operativo,125.882,102.729,72.187,49.028,43.096
Costo dell'indebitamento finanziario netto,716,705,810,1.477,4.952
Risultato delle aziende associate al bilancio di Gruppo,-71,46,,,
Risultato netto delle attività dismesse,,,4,34,32
Utile netto,93.287,74.739,51.351,34.408,26.818
Utile netto: quota del gruppo,92.839,74.154,51.007,34.508,27.030
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
