Millenium,2023,2022,2021,2020,2019
Fatturato,23.209,25.998,24.811,22.914,25.509
Proventi dalle attività ordinarie,23.209,25.998,24.811,22.914,25.509
Risultato operativo,2.332,3.759,3.616,2.374,3.675
Costo dell'indebitamento finanziario netto,244,304,355,134,4
Risultato delle aziende associate al bilancio di Gruppo,0,-216,-250,330,-709
Risultato netto delle attività dismesse,,,,,
Utile netto,1.493,2.409,1.934,1.268,1.822
Utile netto: quota del gruppo,1.493,2.409,1.934,1.268,1.822
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
