Millenium,2023,2022,2021,2020,2019
Fatturato,0,336,56.538,101.623,130.981
Proventi dalle attività ordinarie,433,1.258,56.538,101.623,132.303
Risultato operativo,-1.187,-945,-18.886,-32.638,-38.176
Costo dell'indebitamento finanziario netto,0,0,0,0,0
Risultato delle aziende associate al bilancio di Gruppo,,0,8,-130,-629
Risultato netto delle attività dismesse,,,,,3.819
Utile netto,-1.251,-1.026,-20.185,-34.575,-42.468
Utile netto: quota del gruppo,-1.251,-965,-19.647,-33.620,-41.881
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
