Millenium,2023,2022,2021,2020,2019
Fatturato,81.983,48.232,79.100,60.784,58.174
Proventi dalle attività ordinarie,86.610,56.212,79.100,60.784,58.174
Risultato operativo,4.063,4.670,7.832,917,2.205
Costo dell'indebitamento finanziario netto,4.757,1.957,1.426,1.125,1.529
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-776,2.471,5.868,-1.204,1.035
Utile netto: quota del gruppo,-776,2.471,5.868,-1.204,1.035
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
