Millenium,2023,2022,2021,2020,2019
Fatturato,1.515.732,1.000.739,1.336.475,865,420
Acquisti consumati,3.545,5.146,6.806,8,11
Spese per il personale,580.155,488.577,408.393,424,332
Risultato d'esercizio,-963.368,-421.874,-39.002,-739,-1.044
Imposte sugli utili,4.417,0,7.098,0,0
Utile netto,-966.200,-422.625,-46.004,-748,-1.041
Utile netto: quota del gruppo,-941.454,-422.130,-46.004,-748,-1.041
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
