Millenium,2023,2022,2021,2020,2019
Fatturato,4.649.376,5.138.245,3.972.061,3.379.392,3.186.136
Proventi dalle attività ordinarie,4.649.376,5.138.245,3.972.061,3.379.392,3.186.136
Risultato operativo,612.330,565.851,581.101,534.980,481.857
Costo dell'indebitamento finanziario netto,136.528,85.708,85.897,88.018,95.419
Risultato delle aziende associate al bilancio di Gruppo,-603,17.794,7.797,14.244,43.952
Risultato netto delle attività dismesse,,,,,
Utile netto,327.444,311.160,352.339,326.558,307.177
Utile netto: quota del gruppo,293.908,279.725,313.309,284.949,283.686
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
