Millenium,2023,2022,2021,2020,2019
Fatturato,32.785,26.087,19.016,18.107,17.517
Proventi dalle attività ordinarie,33.658,26.927,19.725,19.082,18.214
Risultato operativo,2.148,1.201,1.070,1.557,1.193
Costo dell'indebitamento finanziario netto,796,181,76,68,156
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,799,653,854,1.685,838
Utile netto: quota del gruppo,799,650,854,1.685,838
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
