Millenium,2022,2021,2020,2019,2018
Fatturato,1.944,3.688,7.290,6.288,16.044
Proventi dalle attività ordinarie,1.944,3.688,7.290,6.288,16.044
Risultato operativo,-9.902,-18.381,-2.185,-14.946,-5.459
Costo dell'indebitamento finanziario netto,0,0,0,0,0
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,0
Utile netto,-9.653,-20.987,-2.808,-14.310,-6.086
Utile netto: quota del gruppo,-9.653,-20.987,-2.808,-14.310,-6.086
Chiusura esercizio fiscale,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
