Millenium,2023,2022,2021,2020,2019
Fatturato,333.894,308.967,283.396,180.570,175.151
Proventi dalle attività ordinarie,333.894,308.967,283.396,180.570,175.151
Risultato operativo,8.751,2.692,5.131,7.447,-5.302
Costo dell'indebitamento finanziario netto,2.685,1.602,1.780,1.597,1.443
Risultato delle aziende associate al bilancio di Gruppo,,,,,117
Risultato netto delle attività dismesse,,,,,
Utile netto,2.959,154,2.294,4.132,-6.511
Utile netto: quota del gruppo,2.959,154,2.294,4.132,-6.511
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
