Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,22.552,17.930,15.251,12.065,14.633
Oneri generali d'esercizio,12.370,11.616,10.691,10.966,10.684
Risultato di gestione lordo,10.182,6.314,3.082,-332,1.778
Costo del rischio,-17,33,-377,-488,-103
Risultato di gestione,10.165,6.347,2.705,-820,1.675
Risultato delle aziende associate al bilancio di Gruppo,460,297,-1.462,-1.297,316
Risultato corrente ante imposte,11.451,7.289,1.235,-2.505,3.021
Utile netto,9.534,6.473,1.570,-2.778,3.491
Utile netto: quota del gruppo,9.507,6.458,1.540,-2.785,3.373
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
