Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,34.584,38.314,43.902,41.586,36.029
Oneri generali d'esercizio,30.217,27.917,32.108,29.005,26.974
Risultato di gestione lordo,4.367,10.397,11.794,12.581,9.055
Costo del rischio,-210,-147,25,-437,-809
Risultato di gestione,4.157,10.250,11.819,12.144,8.246
Risultato delle aziende associate al bilancio di Gruppo,,,,81,
Risultato corrente ante imposte,4.157,10.250,11.819,12.225,8.246
Utile netto,3.006,7.603,8.733,9.054,6.199
Utile netto: quota del gruppo,2.519,6.538,7.196,7.753,5.343
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
