Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,5.341.442,4.673.953,4.510.746,4.151.817,4.349.618
Oneri generali d'esercizio,3.050.535,3.053.892,2.268.950,2.174.953,2.335.097
Risultato di gestione lordo,2.290.907,1.620.061,1.994.971,1.721.750,1.745.572
Costo del rischio,-525.255,-538.203,-913.566,-1.380.131,-843.796
Risultato di gestione,1.765.652,1.081.858,1.081.405,341.619,901.776
Risultato delle aziende associate al bilancio di Gruppo,40.817,125.281,-18.768,1.190,333.151
Risultato corrente ante imposte,1.777.654,1.004.961,921.004,280.988,1.076.394
Utile netto,1.264.431,684.261,568.784,16.632,781.437
Utile netto: quota del gruppo,1.264.453,685.047,569.068,20.880,797.001
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
