Millenium,2023,2022,2021,2020,2019
Fatturato,87.159,72.222,66.259,65.486,85.301
Proventi dalle attività ordinarie,87.159,72.222,66.259,65.486,85.301
Risultato operativo,-281,-3.188,4.070,-21.548,-19.369
Costo dell'indebitamento finanziario netto,1.364,1.512,1.667,1.941,2.208
Risultato delle aziende associate al bilancio di Gruppo,30,39,29,13,-2
Risultato netto delle attività dismesse,,,,,
Utile netto,-1.591,-5.001,2.447,-24.438,-23.075
Utile netto: quota del gruppo,-1.591,-5.001,2.447,-24.438,-23.075
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
