Millenium,2023,2022,2021,2020,2019
Fatturato,131.484,116.308,82.481,64.090,37.408
Proventi dalle attività ordinarie,131.484,116.308,82.481,,
Risultato operativo,-7.742,-59,307,,
Costo dell'indebitamento finanziario netto,1.852,694,334,,
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-7.512,-949,-90,-994,-64
Utile netto: quota del gruppo,-7.512,-949,-90,-994,-64
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,Local GAAP,Local GAAP
