Millenium,2023,2022,2021
Fatturato,9.366,7.898,2.332
Acquisti consumati,884,2.116,242
Spese per il personale,3.960,4.018,3.344
Risultato d'esercizio,374,298,-2
Imposte sugli utili,43,-71,-86
Utile netto,54,282,77
Utile netto: quota del gruppo,54,282,77
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
