Millenium,2023,2022,2021,2020,2019
Fatturato,59.394,53.482,44.743,43.046,50.215
Proventi dalle attività ordinarie,59.394,53.482,44.743,44.091,50.687
Risultato operativo,8.389,8.303,5.914,5.974,5.272
Costo dell'indebitamento finanziario netto,293,227,239,221,410
Risultato delle aziende associate al bilancio di Gruppo,0,175,0,-473,0
Risultato netto delle attività dismesse,,,,,0
Utile netto,5.719,5.947,3.948,3.957,2.868
Utile netto: quota del gruppo,5.699,5.925,3.925,3.926,2.838
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
