Millenium,2023,2022,2021,2020,2019
Fatturato,1.223.938,1.237.576,598.110,396.207,404.579
Proventi dalle attività ordinarie,1.229.860,1.244.505,598.110,396.207,404.579
Risultato operativo,144.428,127.517,56.831,30.378,27.827
Costo dell'indebitamento finanziario netto,14.835,7.430,1.266,826,2.273
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,94.035,90.716,39.429,21.765,18.501
Utile netto: quota del gruppo,94.035,90.716,39.429,21.765,18.501
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
