Millenium,2023,2022,2021,2020,2019
Fatturato,22.590,19.486,14.505,12.010,14.322
Proventi dalle attività ordinarie,23.441,21.208,15.362,13.142,14.322
Risultato operativo,4.395,3.904,2.100,530,1.001
Costo dell'indebitamento finanziario netto,497,442,309,175,173
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,2.197,2.513,1.227,50,308
Utile netto: quota del gruppo,2.197,2.593,1.227,50,308
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
