Millenium,2023,2022,2021,2020,2019
Fatturato,14.897.300,20.082.000,10.555.300,7.079.000,6.912.800
Proventi dalle attività ordinarie,15.565.100,20.630.200,10.955.400,7.546.800,7.443.600
Risultato operativo,834.000,533.800,611.700,551.300,542.500
Costo dell'indebitamento finanziario netto,106.500,81.100,56.800,51.300,142.100
Risultato delle aziende associate al bilancio di Gruppo,10.300,10.000,13.200,8.200,13.400
Risultato netto delle attività dismesse,,,,,111.600
Utile netto,483.200,305.300,372.700,322.800,402.000
Utile netto: quota del gruppo,441.400,255.200,333.500,302.700,385.700
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
