Millenium,2023,2022,2021,2020,2019
Fatturato,536.617,654.632,600.521,479.828,585.759
Proventi dalle attività ordinarie,541.240,659.244,600.521,479.828,585.759
Risultato operativo,9.608,40.935,47.014,18.407,62.689
Costo dell'indebitamento finanziario netto,0,0,2.934,2.788,3.185
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,0,171,1.583
Utile netto,9.486,30.126,39.540,13.882,50.281
Utile netto: quota del gruppo,9.486,29.550,38.913,13.582,50.281
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
