Millenium,2023,2022,2021
Fatturato,38.007.851,41.797.026,46.201.418
Acquisti consumati,22.773.792,24.592.975,27.562.080
Spese per il personale,5.304.220,5.269.029,5.093.285
Risultato d'esercizio,3.555.443,4.972.998,6.151.435
Imposte sugli utili,1.118.112,1.666.726,1.612.467
Utile netto,2.453.394,3.231.219,4.397.237
Utile netto: quota del gruppo,2.218.000,2.931.335,4.115.780
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
