Millenium,2023,2022,2021,2020,2019
Fatturato,24.004,23.636,18.854,14.247,13.631
Proventi dalle attività ordinarie,24.004,23.636,18.854,14.247,13.631
Risultato operativo,4.227,3.879,3.818,267,3.578
Costo dell'indebitamento finanziario netto,203,98,-58,-19,34
Risultato delle aziende associate al bilancio di Gruppo,-1.024,-146,-22,-131,0
Risultato netto delle attività dismesse,-75,-11,-61,507,0
Utile netto,-372,3.168,3.066,-586,2.571
Utile netto: quota del gruppo,-372,3.168,3.066,-586,2.571
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
