Millenium,2023,2022,2021,2020,2019
Fatturato,335.850,298.177,170.638,192.003,316.831
Acquisti consumati,85.898,59.326,61.601,61.967,98.980
Spese per il personale,59.668,54.752,50.707,51.926,62.387
Risultato d'esercizio,12.042,18.745,-64.809,-40.423,25.233
Imposte sugli utili,1.448,3.003,-8.832,-7.116,12.549
Utile netto,6.949,9.839,-56.865,-33.750,15.691
Utile netto: quota del gruppo,7.043,4.644,-54.727,-32.604,4.470
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
