Millenium,2023,2022,2021,2020
Fatturato,18.190,20.039,17.044,10.781
Acquisti consumati,9.882,12.294,9.502,4.841
Spese per il personale,1.543,1.516,1.649,1.194
Risultato d'esercizio,1.901,1.655,1.253,593
Imposte sugli utili,435,514,346,228
Utile netto,1.025,1.006,588,265
Utile netto: quota del gruppo,1.025,1.006,588,265
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Durata esercizio fiscale (mesi),12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP
