Millenium,2023,2022,2021,2020,2019
Fatturato,856.411,852.826,615.878,499.454,505.364
Proventi dalle attività ordinarie,856.411,852.826,615.878,499.454,505.364
Risultato operativo,136.918,125.809,87.593,55.523,47.791
Costo dell'indebitamento finanziario netto,6.126,6.701,5.043,6.232,6.646
Risultato delle aziende associate al bilancio di Gruppo,5.435,-1.196,8.834,3.991,5.067
Risultato netto delle attività dismesse,,,,,
Utile netto,231.050,89.665,66.445,32.763,28.953
Utile netto: quota del gruppo,230.050,89.564,66.696,32.634,29.015
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
