Millenium,2023,2022,2021,2020,2019
Fatturato,407,1.937,604,176,62
Acquisti consumati,5,22,1,4,
Spese per il personale,508,347,476,440,308
Risultato d'esercizio,-802,-5.230,-1.320,-1.930,-1.554
Imposte sugli utili,55,0,0,0,0
Utile netto,-1.382,-5.239,-1.323,-2.430,-1.758
Utile netto: quota del gruppo,-1.382,-5.239,-1.323,-2.432,-1.758
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
