Millenium,2023,2022,2021,2020,2019
Fatturato,84.508,89.858,39.560,57.006,37.020
Acquisti consumati,50.570,64.403,26.211,40.200,22.051
Spese per il personale,6.147,5.420,2.738,2.206,1.795
Risultato d'esercizio,6.341,4.175,1.497,6.288,3.509
Imposte sugli utili,1.319,440,180,1.681,965
Utile netto,3.350,3.226,1.428,4.295,2.157
Utile netto: quota del gruppo,3.282,3.186,1.381,4.295,2.157
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
