Millenium,2023,2022,2021,2020,2019
Fatturato,7.460.853,10.030.918,9.795.784,6.179.863,3.678.300
Acquisti consumati,4.333.000,5.495.984,5.398.335,3.611.930,1.565.606
Spese per il personale,1.724.143,1.677.498,1.333.570,1.108.404,1.084.193
Risultato d'esercizio,-1.349.013,-55.125,934.583,311.385,150.742
Imposte sugli utili,-61.969,-84.222,362.194,79.708,41.725
Utile netto,-1.313.465,-53.899,559.703,219.577,98.440
Utile netto: quota del gruppo,-1.313.465,-53.899,559.703,219.577,98.440
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
