Millenium,2023,2022,2021,2020,2019
Fatturato,164.927,129.178,72.688,19.105,11.966
Proventi dalle attività ordinarie,164.927,129.178,72.688,19.105,11.966
Risultato operativo,16.905,35.462,23.518,3.848,902
Costo dell'indebitamento finanziario netto,22.673,2.137,2.396,272,314
Risultato delle aziende associate al bilancio di Gruppo,,,,767,0
Risultato netto delle attività dismesse,,,,0,0
Utile netto,-2.484,20.658,14.885,2.743,261
Utile netto: quota del gruppo,-3.247,18.495,13.547,2.743,261
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
