Millenium,2023,2022,2021,2020,2019
Fatturato,402.780,454.695,457.140,295.262,311.938
Proventi dalle attività ordinarie,404.533,459.559,457.715,296.090,312.947
Risultato operativo,14.424,11.548,14.356,3.196,423
Costo dell'indebitamento finanziario netto,1.934,276,588,-1.387,-979
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,8.229,9.204,9.379,2.762,1.973
Utile netto: quota del gruppo,8.226,9.224,9.376,2.726,1.942
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
