Millenium,2023,2022,2021,2020,2019
Fatturato,729.320,653.866,615.381,314.871,342.333
Proventi dalle attività ordinarie,729.320,653.866,615.381,314.871,342.333
Risultato operativo,104.682,101.060,75.947,26.377,30.295
Costo dell'indebitamento finanziario netto,-3.191,259,21.385,1.077,2.534
Risultato delle aziende associate al bilancio di Gruppo,6.358,817,5.718,2.044,8.047
Risultato netto delle attività dismesse,,,,,
Utile netto,81.998,69.551,43.136,24.685,30.890
Utile netto: quota del gruppo,80.855,68.476,40.875,24.185,30.281
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
