Millenium,2023,2022,2021,2020,2019
Fatturato,38.876,33.568,26.306,18.935,13.029
Acquisti consumati,48,18,29,12,18
Spese per il personale,4.958,4.010,2.118,1.181,478
Risultato d'esercizio,2.453,3.381,1.765,1.199,548
Imposte sugli utili,948,866,506,346,128
Utile netto,1.494,2.590,1.265,844,532
Utile netto: quota del gruppo,1.242,2.155,1.245,851,531
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
