Millenium,2023,2022,2021,2020,2019
Fatturato,222.481,189.712,85.208,42.128,168.550
Proventi dalle attività ordinarie,233.541,209.302,85.208,42.128,168.550
Risultato operativo,15.210,-2.617,245,-50.572,14.714
Costo dell'indebitamento finanziario netto,10.002,5.916,3.193,2.099,1.474
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,732,-5.343,134,-46.502,8.628
Utile netto: quota del gruppo,572,-5.622,-455,-44.726,9.353
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
