Millenium,2023,2022,2021,2020,2019
Fatturato,1.326.421,1.061.878,283.458,80.420,70.877
Proventi dalle attività ordinarie,1.386.603,1.109.377,297.655,80.420,70.877
Risultato operativo,29.911,20.251,2.545,1.180,2.497
Costo dell'indebitamento finanziario netto,25.104,6.643,2.216,2.130,1.684
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,4.198,9.336,625,2.421,801
Utile netto: quota del gruppo,1.175,4.992,-509,1.290,19
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
