Millenium,2023,2022,2021,2020,2019
Fatturato,5.346,5.112,5.381,5.473,6.765
Proventi dalle attività ordinarie,5.346,5.112,5.381,5.473,6.765
Risultato operativo,-1.181,-2.255,-2.795,-1.389,-3.354
Costo dell'indebitamento finanziario netto,422,236,0,0,0
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,98,-710
Utile netto,-1.519,-2.450,-2.826,-1.427,-4.792
Utile netto: quota del gruppo,-1.481,-2.387,-2.724,-864,-4.272
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
