Millenium,2023,2022,2021,2020,2019
Fatturato,91.319,83.940,72.734,45.082,40.916
Proventi dalle attività ordinarie,91.319,83.940,72.734,45.082,40.916
Risultato operativo,7.906,15.192,16.196,7.039,3.884
Costo dell'indebitamento finanziario netto,3.767,3.799,1.552,83,70
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,3.708,10.305,14.004,5.420,2.752
Utile netto: quota del gruppo,3.708,10.305,14.004,5.420,2.752
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
