Millenium,2023,2022,2021,2020,2019
Fatturato,1.828,1.205,2.105,2.264,2.099
Acquisti consumati,31,39,30,22,27
Spese per il personale,0,0,0,0,0
Risultato d'esercizio,219,-4.465,315,418,201
Imposte sugli utili,19,-1.155,38,65,-1
Utile netto,239,-3.340,225,251,82
Utile netto: quota del gruppo,206,-3.268,139,142,4
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
