Millenium,2023,2022,2021,2020,2019
Fatturato,131.404,113.885,98.713,71.052,70.326
Proventi dalle attività ordinarie,131.404,113.885,98.713,71.052,70.326
Risultato operativo,7.298,7.629,7.122,5.657,4.487
Costo dell'indebitamento finanziario netto,2.685,1.974,1.556,-63.840,-375
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,2.869,3.070,5.302,67.266,2.472
Utile netto: quota del gruppo,2.869,3.070,5.302,67.266,2.472
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
