Millenium,2023,2022,2021,2020,2019
Fatturato,112.818,101.320,90.953,83.461,74.778
Proventi dalle attività ordinarie,112.818,101.320,90.953,83.461,74.778
Risultato operativo,9.655,9.755,10.737,9.404,8.759
Costo dell'indebitamento finanziario netto,-707,-1.322,70,94,156
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,7.224,7.976,7.365,7.654,7.204
Utile netto: quota del gruppo,7.224,7.976,7.365,7.654,7.204
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
