Millenium,2023,2022,2021,2020,2019
Fatturato,14.645.012,16.163.706,10.995.985,8.577.133,5.173.997
Acquisti consumati,20.290,33.813,20.890,18.854,15.328
Spese per il personale,6.244.728,6.673.143,5.099.803,4.624.261,2.403.426
Risultato d'esercizio,-3.483.294,-3.558.982,-3.170.635,-1.855.591,-714.834
Imposte sugli utili,-40.192,-855.047,-805.083,-495.601,-192.751
Utile netto,-3.617.258,-2.692.865,-2.415.462,-1.361.582,-544.236
Utile netto: quota del gruppo,-3.611.501,-2.692.865,-2.415.462,-1.438.768,-544.236
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
