Millenium,2023,2022,2021,2020,2019
Fatturato,360.258,291.510,186.054,117.214,101.099
Proventi dalle attività ordinarie,367.599,295.128,185.556,117.214,101.099
Risultato operativo,50.769,33.232,21.721,9.773,2.999
Costo dell'indebitamento finanziario netto,6.445,4.264,3.087,1.991,1.859
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,36.911,24.046,16.322,6.235,429
Utile netto: quota del gruppo,36.911,24.046,16.322,6.235,429
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
