Millenium,2023,2022,2021,2020,2019
Fatturato,6.955,33.574,29.215,24.699,23.056
Proventi dalle attività ordinarie,9.494,37.796,29.215,24.699,23.056
Risultato operativo,-800,-70.099,6.728,8.321,6.344
Costo dell'indebitamento finanziario netto,141,298,350,255,277
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,-814,,,,
Utile netto,619,-69.899,5.431,3.926,3.901
Utile netto: quota del gruppo,842,-69.307,5.483,4.368,3.832
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
