Millenium,2023,2022,2021,2020,2019
Fatturato,846.482,706.178,555.912,440.583,363.204
Proventi dalle attività ordinarie,847.392,708.512,557.777,442.257,364.833
Risultato operativo,59.907,50.029,44.140,34.011,27.061
Costo dell'indebitamento finanziario netto,0,0,0,0,0
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,38.581,34.027,30.620,24.125,19.135
Utile netto: quota del gruppo,38.370,33.950,30.129,24.099,18.976
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
