Millenium,2023,2022,2021,2020,2019
Fatturato,18.187,17.333,12.770,12.443,15.694
Proventi dalle attività ordinarie,18.555,17.711,12.770,12.443,15.694
Risultato operativo,2.771,2.649,751,-967,1.706
Costo dell'indebitamento finanziario netto,409,307,432,407,424
Risultato delle aziende associate al bilancio di Gruppo,,0,-4,0,-3
Risultato netto delle attività dismesse,,,-147,,
Utile netto,1.210,1.599,6,-1.770,580
Utile netto: quota del gruppo,1.209,1.597,7,-1.767,586
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
