Millenium,2023,2022,2021,2020,2019
Fatturato,79.979,50.864,43.799,44.060,34.672
Acquisti consumati,34.812,17.220,15.215,16.666,12.448
Spese per il personale,19.995,15.971,13.205,12.448,11.363
Risultato d'esercizio,4.560,5.264,5.824,5.592,3.597
Imposte sugli utili,917,798,637,1.450,520
Utile netto,2.493,4.014,4.980,3.848,2.820
Utile netto: quota del gruppo,2.967,4.351,4.973,3.772,2.781
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
