Millenium,2023,2022,2021,2020,2019
Fatturato,1.492,3.688,969,10.334,26.439
Proventi dalle attività ordinarie,1.620,4.691,969,10.334,26.439
Risultato operativo,-3.368,-4.824,15.890,-5.016,-5.015
Costo dell'indebitamento finanziario netto,136,91,310,577,320
Risultato delle aziende associate al bilancio di Gruppo,0,-159,33,-437,-1.489
Risultato netto delle attività dismesse,,0,0,989,-544
Utile netto,-3.597,-5.455,15.347,-5.307,-7.924
Utile netto: quota del gruppo,-3.839,-5.187,-202,-2.561,-5.966
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
