Millenium,2023,2022,2021,2020,2019
Fatturato,15.157,17.200,18.646,14.357,16.554
Acquisti consumati,6.738,8.102,8.160,7.211,7.190
Spese per il personale,2.766,2.968,2.974,2.924,3.240
Risultato d'esercizio,752,1.155,2.067,17,545
Imposte sugli utili,425,389,-137,-90,185
Utile netto,204,705,2.007,10,229
Utile netto: quota del gruppo,204,705,2.007,10,229
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
