Millenium,2023,2022,2021,2020,2019
Fatturato,56.046,53.496,44.234,42.954,66.053
Acquisti consumati,27.167,29.732,22.920,22.118,32.831
Spese per il personale,9.020,8.492,7.975,7.823,11.684
Risultato d'esercizio,1.702,939,-93,56,3.595
Imposte sugli utili,7,86,113,214,173
Utile netto,465,187,-859,-911,5.053
Utile netto: quota del gruppo,463,187,-858,-909,5.054
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
