Millenium,2023,2022,2021,2020,2019
Fatturato,100.202,82.724,68.114,56.449,53.624
Proventi dalle attività ordinarie,100.202,82.724,68.114,56.449,53.624
Risultato operativo,23.360,23.040,18.691,13.216,12.204
Costo dell'indebitamento finanziario netto,482,-68,-99,-61,-28
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,12.832,15.048,13.771,14.072,8.454
Utile netto: quota del gruppo,12.832,15.048,13.771,14.072,8.454
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
