Millenium,2023,2022,2021,2020,2019
Fatturato,424.615,343.795,323.890,268.360,236.961
Proventi dalle attività ordinarie,424.615,343.795,323.890,268.360,236.961
Risultato operativo,27.787,20.423,23.492,18.981,15.082
Costo dell'indebitamento finanziario netto,16.707,8.200,4.832,5.313,2.065
Risultato delle aziende associate al bilancio di Gruppo,5,-4,-37,0,4
Risultato netto delle attività dismesse,4.590,3.783,,,
Utile netto,6.776,9.528,11.258,12.384,9.773
Utile netto: quota del gruppo,7.189,9.722,11.047,11.992,9.521
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
