Millenium,2023,2022,2021,2020,2019
Fatturato,14.942,20.605,2.099,3.320,5.156
Acquisti consumati,8.087,7.914,8.167,293,1.291
Spese per il personale,1.613,1.490,869,739,770
Risultato d'esercizio,-7.343,-2.905,-6.922,-2.954,-1.373
Imposte sugli utili,-175,29,500,0,50
Utile netto,-8.595,-4.053,-13.632,-4.043,-2.396
Utile netto: quota del gruppo,-7.402,-3.685,-13.167,-3.795,-2.416
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
