Millenium,2023,2022,2021,2020,2019
Fatturato,35.446,33.828,28.327,17.490,18.335
Proventi dalle attività ordinarie,35.661,34.091,28.608,17.678,18.562
Risultato operativo,6.038,6.834,6.396,1.866,1.808
Costo dell'indebitamento finanziario netto,-91,-4,-15,-1,42
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,4.322,5.102,5.048,2.443,1.697
Utile netto: quota del gruppo,4.326,5.099,5.043,2.445,1.693
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
