Millenium,2023,2022,2021,2020,2019
Fatturato,56.733,40.471,24.910,15.411,19.436
Acquisti consumati,33.212,25.330,15.539,9.294,10.735
Spese per il personale,5.755,3.858,2.204,1.962,2.542
Risultato d'esercizio,4.381,2.048,1.516,221,1.618
Imposte sugli utili,1.248,615,367,304,1.129
Utile netto,2.204,840,409,-364,261
Utile netto: quota del gruppo,2.203,840,409,-364,261
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
